0.02734375, 0.6894531, 0.1787109, 0.9501953
0.2128906, 0.6728516, 0.3984375, 0.9638672
0.4023438, 0.8261719, 0.5117188, 0.9628906
0.5322266, 0.6894531, 0.7255859, 0.9570313
0.8378906, 0.6982422, 0.9716797, 0.9707031
0.4150391, 0.6630859, 0.5146484, 0.7783203
0.7548828, 0.5849609, 0.8134766, 0.7705078
0.2539063, 0.4658203, 0.3564453, 0.6474609
0.4042969, 0.375, 0.5009766, 0.6289063
0.5302734, 0.4287109, 0.7421875, 0.6621094
0.8154297, 0.375, 0.9863281, 0.6181641
0.02734375, 0.3505859, 0.08105469, 0.4482422
0.1230469, 0.3505859, 0.1552734, 0.4580078
0.1894531, 0.3564453, 0.2382813, 0.4511719
0.2773438, 0.3212891, 0.3505859, 0.4521484
0.5380859, 0.1582031, 0.7275391, 0.4013672
0.7216797, 0.2607422, 0.8046875, 0.4462891
0.3613281, 0.2265625, 0.5039063, 0.3408203
0.8300781, 0.2089844, 0.9736328, 0.3291016
0.009765625, 0, 0.3095703, 0.2919922
0.3398438, 0.02734375, 0.4013672, 0.1699219
0.7666016, 0.08300781, 0.8164063, 0.1914063
0.4462891, 0.005859375, 0.7285156, 0.1367188
0.8466797, 0.01757813, 0.9765625, 0.1610909
