0.02734375, 0.3105469, 0.1787109, 0.04980469
0.2128906, 0.3271484, 0.3984375, 0.03613281
0.5322266, 0.3105469, 0.7255859, 0.04296875
0.8378906, 0.3017578, 0.9716797, 0.02929688
0.4042969, 0.625, 0.5009766, 0.3710938
0.5302734, 0.5712891, 0.7421875, 0.3378906
0.8154297, 0.625, 0.9863281, 0.3818359
0.5380859, 0.8417969, 0.7275391, 0.5986328
0.8300781, 0.7910156, 0.9736328, 0.6708984
0.009765625, 1, 0.3095703, 0.7080078
0.4462891, 0.9941406, 0.7285156, 0.8632813
0.8466797, 0.9824219, 0.9765625, 0.8389091
